timestamp,iso_date,funds,credits,portfolio_value,total_value
1766360253892,2025-12-21T23:37:33.892Z,100,10,10000,10100
1766360254710,2025-12-21T23:37:34.710Z,50,10,10050,10100
1766360256036,2025-12-21T23:37:36.036Z,100,10,10150,10250
1766360257361,2025-12-21T23:37:37.361Z,125,10,10275,10400
1766360258183,2025-12-21T23:37:38.183Z,63,10,10337,10400
1766360259003,2025-12-21T23:37:39.003Z,32,10,10368,10400
1766360260335,2025-12-21T23:37:40.335Z,66,10,10434,10500
1766360261671,2025-12-21T23:37:41.671Z,133,10,10567,10700
1766360263009,2025-12-21T23:37:43.009Z,142,10,10708,10850
1766360264343,2025-12-21T23:37:44.343Z,171,10,10879,11050
